year,region,crop_type,rainfall_mm,temperature_celsius,fertilizer_kg_per_ha,pesticide_kg_per_ha,farm_size_ha,soil_type,elevation_m,irrigation,yield_kg_per_ha
2010,Coast,Tea,231.3,27.6,88.3,3.68,1.33,sandy,29,1,893.8
2009,North Eastern,Sorghum,298.7,25.3,46.6,3.75,0.33,clay,561,1,1503.1
2001,Eastern,Beans,521.4,24.9,46.5,2.73,1.91,clay,628,0,399.3
2019,Western,Wheat,1457.4,19.6,40.7,0.71,2.58,loam,1665,0,1406.1
2005,Coast,Tea,1257.0,28.8,47.9,1.86,1.85,loam,577,0,1020.1
2016,North Eastern,Coffee,135.0,27.1,0.0,2.29,0.61,sandy,390,1,100.0
2012,Central,Beans,1366.0,17.7,44.4,4.05,5.19,loam,2974,1,939.9
2003,Western,Sorghum,1203.2,21.6,52.5,5.21,0.58,clay,1345,0,576.3
2012,Coast,Wheat,1156.7,27.1,22.4,1.61,3.99,loam,562,0,548.5
2022,Western,Wheat,1466.2,22.7,25.4,3.64,2.18,loam,1284,0,1438.9
2003,Western,Wheat,1524.5,25.2,48.0,2.75,2.43,clay,1243,0,931.3
2008,Coast,Maize,953.0,26.9,86.0,1.36,2.73,sandy,147,0,599.0
2018,Nyanza,Sorghum,922.1,23.9,39.6,3.33,1.58,loam,1688,0,1228.7
2016,North Eastern,Beans,397.7,29.4,26.6,4.06,0.88,sandy,381,0,142.6
2002,Nyanza,Tea,1257.3,21.3,26.3,0.47,1.28,clay,1525,0,3506.4
2022,Central,Tea,1205.2,16.4,38.4,0.0,1.56,volcanic,2060,1,11865.0
2012,Rift Valley,Beans,915.2,20.5,49.6,0.64,2.48,volcanic,2414,1,1477.3
2014,Western,Beans,1157.2,22.9,3.4,0.66,0.32,loam,1235,0,586.5
2001,Western,Beans,1574.5,22.1,48.0,1.32,1.86,clay,1354,0,535.8
2002,Rift Valley,Tea,969.5,19.2,47.1,2.79,1.92,loam,2716,1,12191.1
2002,Rift Valley,Sorghum,743.6,18.1,16.6,0.0,2.23,volcanic,2759,1,852.1
2018,Nyanza,Wheat,1755.5,25.1,60.2,2.64,0.85,loam,1284,0,850.0
2020,Central,Wheat,1696.1,16.0,38.3,0.5,0.77,loam,1786,1,2357.2
2013,Rift Valley,Beans,1201.0,16.8,43.3,4.74,0.54,loam,2754,1,1096.2
2011,North Eastern,Maize,306.6,27.8,71.0,2.67,3.08,sandy,499,0,408.3
2004,Central,Sorghum,1234.4,18.1,16.5,1.16,2.05,loam,2270,1,418.2
2015,Western,Tea,1343.3,22.3,42.7,2.17,1.75,clay,1262,1,6405.0
2000,Western,Wheat,1775.3,20.2,42.9,1.28,2.4,clay,1821,0,960.4
2020,Coast,Wheat,1554.4,30.0,37.6,3.59,1.02,sandy,487,1,304.0
2015,Rift Valley,Maize,1160.3,22.1,40.6,1.37,1.86,loam,2373,1,2203.3
2013,Eastern,Wheat,821.4,23.3,23.0,1.52,0.63,clay,781,1,942.3
2022,Central,Coffee,1239.6,17.7,43.0,2.05,2.59,loam,2728,1,1146.4
2010,Rift Valley,Wheat,865.1,21.7,36.2,3.77,0.29,loam,1777,1,3840.2
2022,Rift Valley,Sorghum,899.2,18.9,55.0,0.0,1.71,loam,2425,1,770.1
2001,Central,Sorghum,994.5,16.3,52.9,3.89,0.95,loam,2834,1,539.3
2010,Central,Coffee,1451.8,19.3,20.5,4.01,1.71,loam,1659,1,1223.2
2010,Eastern,Wheat,653.6,22.7,42.8,2.43,0.71,sandy,1070,0,671.3
2019,Western,Beans,1462.6,23.7,32.3,2.43,1.37,loam,1424,0,495.8
2005,Central,Wheat,1110.8,17.2,32.7,0.0,1.03,volcanic,1894,1,3327.9
2008,Nyanza,Maize,1859.7,23.8,77.0,3.31,2.84,loam,1524,0,1629.7
2006,North Eastern,Maize,359.8,33.4,17.4,1.26,3.11,sandy,377,0,188.7
2016,Central,Sorghum,1523.1,16.4,64.3,4.78,2.72,volcanic,2245,1,410.6
2012,Western,Tea,1374.3,27.4,44.8,1.22,2.47,loam,1839,0,4368.3
2013,Coast,Sorghum,764.9,26.6,21.7,1.25,1.29,loam,88,0,674.4
2022,Eastern,Coffee,313.1,21.5,47.8,3.37,1.33,sandy,1489,0,338.0
2002,Rift Valley,Beans,1259.9,17.9,23.0,2.94,2.23,volcanic,1652,1,1260.9
2018,Rift Valley,Coffee,735.1,16.9,25.7,4.18,0.85,volcanic,2501,1,1116.9
2011,Nyanza,Coffee,1857.9,24.5,69.6,0.93,1.69,clay,1153,0,577.5
2019,North Eastern,Coffee,189.6,37.2,70.3,3.4,1.42,sandy,303,0,100.0
2005,North Eastern,Coffee,343.9,30.0,28.8,3.99,1.95,sandy,172,0,100.0
2013,Western,Beans,1626.5,23.4,26.8,2.76,1.01,loam,1204,0,620.3
2016,Coast,Coffee,1087.3,29.9,24.2,2.55,0.52,loam,560,0,255.0
2007,Central,Maize,972.6,15.4,66.1,2.71,0.92,loam,1580,1,1656.9
2014,Coast,Beans,723.8,31.0,8.6,4.35,1.39,loam,460,0,237.7
2019,Rift Valley,Maize,1030.3,16.7,36.0,2.49,2.05,volcanic,2414,1,2272.5
2013,Central,Maize,945.6,18.4,1.1,2.37,2.94,volcanic,2496,1,1596.9
2020,Nyanza,Tea,1612.5,24.6,77.8,2.52,1.82,clay,1334,1,4781.7
2021,Rift Valley,Coffee,1090.3,20.1,36.2,2.2,1.93,volcanic,2422,1,1541.7
2001,Eastern,Maize,581.2,24.4,7.9,0.0,1.66,sandy,1022,0,558.4
2022,Western,Coffee,2016.3,21.6,52.5,3.71,1.26,loam,1931,0,833.0
2004,North Eastern,Beans,266.0,27.8,13.4,4.46,1.99,sandy,290,1,140.1
2018,Central,Beans,1476.4,18.3,36.7,2.72,3.14,loam,2125,1,853.2
2008,Coast,Beans,777.3,27.8,78.0,2.33,2.89,sandy,34,1,303.7
2021,Western,Sorghum,1731.3,24.7,57.5,2.48,0.55,clay,1230,1,293.3
2008,Coast,Wheat,1232.9,27.0,64.7,2.12,0.98,sandy,198,1,519.3
2004,Coast,Tea,1395.5,25.3,31.1,2.07,1.25,loam,148,0,1419.2
2012,Central,Coffee,1236.4,17.6,47.5,2.11,3.31,volcanic,1552,1,1151.3
2020,Nyanza,Beans,1084.3,22.0,16.1,0.0,2.75,loam,1782,0,559.5
2009,Nyanza,Coffee,1063.5,20.1,38.2,2.15,1.01,clay,1250,0,699.9
2006,Central,Beans,1018.8,19.6,6.0,3.68,0.56,loam,1621,1,1265.4
2004,North Eastern,Sorghum,232.7,31.0,29.3,3.2,3.16,sandy,264,1,603.0
2005,Central,Beans,883.2,18.5,55.7,3.14,0.69,loam,2800,1,1243.0
2018,Nyanza,Coffee,1267.1,22.0,45.9,3.19,1.55,loam,1691,0,843.7
2004,North Eastern,Sorghum,431.4,27.3,24.5,1.19,2.24,sandy,322,1,803.6
2016,Western,Sorghum,1801.2,26.4,57.6,4.04,5.38,clay,1370,0,261.7
2011,Western,Beans,1684.2,22.9,73.5,2.21,1.8,clay,1240,0,509.5
2012,North Eastern,Sorghum,162.2,25.9,67.6,2.67,1.77,clay,570,0,874.6
2007,Coast,Maize,921.2,27.3,59.2,3.19,0.59,loam,327,1,1362.3
2021,Eastern,Wheat,535.5,22.8,21.1,3.41,0.54,clay,1440,0,954.5
2002,Eastern,Wheat,507.7,27.7,21.0,1.14,0.26,clay,599,0,673.9
2018,Nyanza,Maize,1507.1,21.6,58.0,2.96,2.38,clay,1421,1,2011.4
2001,Nyanza,Tea,1401.6,23.1,31.0,3.43,0.64,loam,1696,0,5186.2
2010,Central,Tea,1469.0,15.8,54.2,2.74,0.43,volcanic,1860,1,13512.7
2021,Coast,Sorghum,504.3,29.9,50.9,3.17,2.57,loam,487,0,695.0
2001,Central,Beans,1487.6,17.7,52.0,3.61,0.89,loam,2084,1,1162.4
2021,Coast,Tea,1084.3,26.8,35.8,1.76,0.89,loam,158,0,1274.5
2004,Rift Valley,Wheat,1155.6,20.1,42.0,4.75,1.08,volcanic,1964,1,4490.9
2016,Eastern,Wheat,404.7,19.9,55.4,4.76,0.99,clay,782,0,1132.5
2017,Eastern,Maize,743.2,24.0,15.3,4.38,2.25,clay,1160,0,1011.9
2020,Rift Valley,Coffee,854.3,19.5,62.9,3.69,2.34,loam,1587,1,1160.9
2010,Eastern,Coffee,627.6,21.8,43.7,1.37,0.88,sandy,1369,0,253.2
2018,Coast,Maize,892.0,26.5,47.5,2.97,3.11,sandy,517,1,636.0
2014,Rift Valley,Tea,1165.0,17.1,1.1,6.04,6.61,loam,2111,1,10826.6
2000,Central,Wheat,1319.1,14.2,34.0,3.43,1.81,volcanic,2564,1,2951.7
2003,Central,Sorghum,880.5,20.0,81.1,4.81,1.07,volcanic,2750,1,1026.7
2019,Western,Tea,1380.4,22.2,49.6,4.75,0.95,loam,1808,0,6722.2
2020,Eastern,Maize,587.6,25.0,26.4,2.85,1.66,clay,1361,0,825.1
2009,Coast,Coffee,1400.2,26.6,46.6,2.16,0.55,sandy,350,0,176.1
2013,Central,Wheat,1181.0,14.2,43.3,3.95,0.61,loam,2916,1,3171.2
2008,Rift Valley,Beans,402.5,18.1,73.3,1.79,0.96,loam,1753,1,1178.5
2005,Coast,Tea,1024.9,28.9,39.4,3.29,1.07,loam,20,0,1066.0
2019,North Eastern,Sorghum,289.9,31.8,64.1,0.27,1.14,sandy,323,0,510.7
2003,Coast,Wheat,958.5,27.2,103.2,3.86,1.8,loam,95,0,825.9
2016,Eastern,Wheat,313.5,21.6,38.5,2.39,5.37,clay,509,1,1053.1
2021,Western,Wheat,1305.3,21.6,52.2,0.17,1.55,clay,1691,0,1145.2
2020,Nyanza,Beans,1731.3,22.0,44.1,2.5,0.8,clay,1701,0,496.3
2018,Eastern,Wheat,581.1,23.3,69.6,0.28,0.8,sandy,1038,0,748.4
2004,Central,Wheat,1037.8,14.5,35.3,3.2,2.69,volcanic,1603,1,3393.7
2004,North Eastern,Maize,270.4,34.5,35.6,2.45,1.52,clay,358,0,307.0
2007,Eastern,Tea,677.7,23.0,67.0,3.87,1.57,sandy,762,0,1526.1
2006,Nyanza,Sorghum,1492.7,21.6,40.1,4.79,0.68,clay,1316,0,392.3
2017,Western,Maize,1871.1,21.6,30.7,1.39,1.3,loam,1900,0,1352.8
2023,Coast,Coffee,1176.4,26.6,40.6,1.16,1.19,loam,575,0,298.8
2016,Eastern,Sorghum,605.8,25.2,38.9,4.34,2.91,sandy,1245,0,812.2
2000,Coast,Wheat,954.6,28.5,20.2,1.88,1.46,sandy,20,0,309.0
2005,Eastern,Wheat,543.3,24.5,26.6,4.26,0.59,sandy,753,0,629.3
2000,Eastern,Beans,411.7,23.9,47.0,0.0,2.82,sandy,1341,0,280.7
2023,Nyanza,Wheat,1797.6,20.2,51.7,1.39,0.5,clay,1686,0,989.1
2003,Rift Valley,Sorghum,1032.6,21.3,43.6,0.55,1.79,loam,1766,1,838.3
2002,Eastern,Coffee,452.5,24.3,40.3,3.22,1.12,sandy,952,0,218.8
2017,Rift Valley,Beans,1312.1,22.5,35.0,3.96,2.12,loam,2771,1,1119.6
2019,Rift Valley,Beans,990.9,17.0,47.2,2.16,1.64,loam,1631,1,936.4
2012,North Eastern,Wheat,235.5,29.6,73.4,1.09,4.18,clay,525,0,306.7
2022,Western,Coffee,1627.8,21.3,49.8,3.65,0.98,clay,1849,0,689.9
2012,Coast,Maize,489.0,27.9,47.7,2.45,0.32,sandy,481,0,518.3
2018,Eastern,Maize,784.0,18.1,13.7,4.46,1.11,clay,1367,0,799.6
2002,Eastern,Beans,606.5,21.3,22.6,4.19,0.59,clay,701,0,619.5
2016,Coast,Maize,1306.4,29.6,54.0,4.18,1.27,sandy,3,0,388.5
2015,North Eastern,Coffee,332.0,29.0,61.6,1.0,0.56,clay,391,0,142.7
2018,Western,Tea,1380.0,22.5,35.7,0.73,3.78,clay,1332,0,4315.7
2004,Eastern,Sorghum,581.1,25.3,48.5,0.09,0.61,clay,619,0,1155.6
2019,Coast,Tea,705.1,26.0,34.9,3.61,1.5,loam,5,0,1236.9
2008,North Eastern,Maize,271.4,26.9,28.9,0.7,5.34,clay,478,0,490.0
2017,Eastern,Sorghum,543.6,24.2,57.0,0.0,0.88,clay,1343,0,1133.9
2012,Eastern,Coffee,535.1,22.1,53.7,3.88,1.28,clay,1089,0,480.7
2018,Rift Valley,Beans,1062.0,17.6,41.1,2.69,0.69,volcanic,2402,1,1506.2
2019,Nyanza,Beans,1595.1,22.8,76.9,0.89,0.46,loam,1549,1,795.6
2021,Western,Sorghum,1164.5,21.1,34.8,1.75,1.4,clay,1556,0,494.1
2021,Rift Valley,Tea,746.7,18.8,27.3,3.61,1.1,loam,2516,1,9777.7
2004,Rift Valley,Beans,945.4,18.8,65.9,3.11,0.75,volcanic,1670,1,1451.2
2007,Rift Valley,Beans,862.6,18.1,68.9,2.79,2.78,loam,1998,1,1076.3
2006,Central,Tea,1238.7,18.3,29.1,3.22,1.51,loam,2124,1,9865.6
2003,Rift Valley,Maize,1014.0,17.6,59.9,2.12,1.01,loam,1710,1,2169.6
2023,Coast,Coffee,946.4,29.5,27.7,1.26,1.58,sandy,505,0,146.2
2001,Rift Valley,Wheat,929.9,20.5,87.6,3.74,3.04,volcanic,2674,1,4452.6
2007,Eastern,Sorghum,474.5,21.0,27.4,0.65,1.82,sandy,1347,0,512.2
2002,Rift Valley,Wheat,1155.5,17.8,50.9,2.2,1.16,volcanic,1981,1,4752.7
2023,Coast,Wheat,952.3,26.6,27.2,0.88,1.76,loam,506,0,654.9
2018,Eastern,Tea,371.6,27.2,51.4,1.44,0.46,sandy,623,0,834.3
2019,North Eastern,Wheat,264.4,32.0,43.8,4.91,0.65,sandy,294,0,229.3
2016,Western,Maize,1800.0,18.8,18.9,0.9,2.63,loam,1877,0,1322.6
2002,Coast,Maize,1432.0,28.7,26.8,3.7,2.01,sandy,578,0,455.5
2005,North Eastern,Maize,261.3,30.6,30.1,0.98,0.4,clay,409,1,421.2
2023,North Eastern,Maize,240.1,24.4,31.0,3.11,2.75,sandy,174,0,364.2
2022,Coast,Tea,1684.5,26.8,9.3,0.0,2.22,sandy,568,1,554.2
2021,Eastern,Sorghum,545.3,21.3,21.3,1.5,1.66,clay,893,0,833.3
2021,Central,Beans,1090.0,16.0,45.7,3.92,0.89,volcanic,2312,1,1066.4
2003,Rift Valley,Wheat,1366.6,21.6,40.3,3.8,0.43,loam,2231,1,3491.6
2019,North Eastern,Coffee,358.0,31.5,43.8,4.0,0.2,sandy,519,0,100.0
2002,Nyanza,Tea,1441.6,24.0,50.3,4.1,0.78,clay,1240,0,4196.3
2019,North Eastern,Maize,245.0,30.5,48.8,2.35,0.38,clay,518,0,425.2
2016,Nyanza,Beans,1413.1,24.9,30.3,2.43,1.33,clay,1256,1,630.4
2006,Central,Tea,1201.4,15.7,48.0,5.28,2.76,volcanic,2692,1,16801.1
2001,Eastern,Sorghum,426.0,21.4,40.9,4.1,1.06,clay,870,0,831.4
2000,North Eastern,Coffee,154.3,34.1,27.8,3.26,0.45,clay,217,0,100.0
2002,Western,Wheat,1970.3,23.5,56.7,3.38,3.35,loam,1226,0,759.5
2008,Central,Coffee,1173.7,18.7,31.3,0.09,4.59,volcanic,1528,1,1500.2
2006,Coast,Sorghum,1440.2,26.4,40.4,3.63,2.34,loam,193,0,552.2
2012,Central,Tea,1017.7,19.0,16.9,0.84,1.75,volcanic,1900,1,12958.5
2012,Central,Coffee,1233.0,19.3,36.6,2.72,1.26,loam,2946,1,1383.3
2000,Central,Beans,1069.3,16.2,27.3,2.81,1.74,volcanic,2065,1,1011.3
2011,Western,Coffee,1731.0,22.2,30.1,1.07,1.74,clay,1850,0,476.1
2008,Central,Maize,1627.1,16.3,33.8,1.98,0.86,volcanic,1799,1,1392.6
2007,Nyanza,Wheat,1202.6,22.4,13.1,1.27,0.97,loam,1126,0,1466.2
2005,Western,Sorghum,1846.1,23.6,55.7,3.19,5.54,clay,1274,0,251.9
2020,Coast,Tea,949.9,27.8,22.7,2.48,0.9,loam,438,0,980.7
2017,Central,Tea,1346.6,14.5,61.0,3.23,0.81,volcanic,2124,1,13927.6
2003,Central,Sorghum,966.4,16.3,62.2,3.35,2.12,loam,1583,1,643.5
2004,Central,Tea,1242.6,15.5,33.6,1.31,2.87,loam,1687,1,10918.9
2008,Eastern,Sorghum,458.3,21.5,30.2,5.77,1.02,sandy,1135,0,817.8
2015,Western,Coffee,1779.6,21.8,78.0,3.01,1.05,clay,1845,0,686.2
2015,Coast,Coffee,426.3,27.9,12.6,5.48,2.55,sandy,468,1,204.0
2009,Western,Beans,1288.9,22.5,27.8,0.98,0.53,loam,1970,0,704.8
2017,North Eastern,Wheat,201.6,24.1,26.6,2.79,0.53,clay,588,0,452.4
2005,Coast,Maize,956.9,27.7,40.6,2.61,1.0,loam,149,0,1077.0
2021,Rift Valley,Maize,738.7,18.1,36.5,0.2,0.41,volcanic,2276,1,2014.7
2018,Nyanza,Maize,685.1,22.5,39.2,4.42,1.4,loam,1282,0,1660.1
2011,Rift Valley,Coffee,911.3,20.1,38.6,3.23,1.41,loam,1624,1,993.2
2008,North Eastern,Sorghum,359.7,35.6,38.8,0.98,1.22,sandy,164,0,265.1
2008,North Eastern,Coffee,300.3,32.1,47.8,0.95,2.13,sandy,511,0,100.0
2003,Central,Tea,1108.2,15.6,16.9,0.0,1.03,loam,2220,1,9790.4
2000,Nyanza,Wheat,1928.9,22.0,5.7,3.74,4.39,clay,1214,0,727.7
2019,Rift Valley,Beans,1368.6,19.3,19.1,3.77,4.98,volcanic,2535,1,1126.7
2002,Eastern,Wheat,613.0,27.9,52.1,0.0,3.36,clay,1282,1,784.9
2000,Rift Valley,Maize,733.6,17.7,23.7,0.9,5.97,volcanic,1594,1,2425.1
2004,Western,Tea,1437.3,21.0,28.2,1.2,1.4,loam,1630,0,5884.0
2007,Nyanza,Tea,1151.3,23.0,31.4,2.62,1.47,loam,1666,0,4601.8
2009,North Eastern,Tea,209.3,30.4,50.1,3.51,0.26,sandy,556,0,160.9
2001,Central,Tea,1162.5,14.9,40.1,0.88,0.35,volcanic,2303,1,13572.3
2007,Coast,Beans,860.1,25.9,60.1,3.32,2.41,loam,404,0,396.7
2016,Eastern,Sorghum,335.6,26.5,71.1,2.56,0.85,sandy,560,0,886.8
2001,Eastern,Coffee,545.0,25.4,29.7,2.21,1.17,sandy,1359,0,214.8
2023,North Eastern,Sorghum,485.9,30.2,40.3,2.46,1.55,sandy,580,0,541.6
2019,Coast,Tea,1173.7,28.9,66.1,1.5,0.5,sandy,479,0,582.5
2008,Coast,Tea,1006.7,29.1,16.4,4.17,2.23,sandy,585,0,573.8
2002,Western,Wheat,1754.8,26.1,40.4,1.41,1.19,loam,1743,0,897.2
2003,Central,Maize,1499.1,19.6,20.0,4.05,0.86,loam,2670,1,1342.8
2011,Rift Valley,Wheat,1095.7,20.0,17.9,2.0,0.78,volcanic,2546,1,3787.5
2012,Western,Tea,1498.6,20.4,63.4,0.92,0.83,clay,1771,1,8004.8
2004,North Eastern,Tea,271.6,29.5,41.4,4.24,0.71,clay,228,1,346.5
2004,Eastern,Wheat,639.5,22.1,35.3,3.62,1.81,sandy,1454,0,742.0
2022,Nyanza,Wheat,1827.2,25.8,39.4,2.71,2.94,loam,1186,0,671.4
2021,Central,Tea,1144.2,16.4,55.8,3.01,2.01,volcanic,2006,1,16514.6
2015,Central,Tea,1512.6,16.5,35.1,2.05,5.12,volcanic,2804,1,15893.4
2020,Central,Wheat,1071.1,11.5,63.7,4.81,0.92,loam,2496,1,2583.8
2023,Eastern,Sorghum,517.8,26.6,32.9,2.63,3.62,clay,1033,1,1313.1
2005,Central,Maize,1167.2,17.8,59.0,1.8,3.44,loam,1763,1,1895.0
2019,North Eastern,Coffee,235.1,31.4,0.0,6.32,1.96,clay,401,0,100.0
2014,Rift Valley,Beans,481.9,18.7,34.7,1.9,1.25,volcanic,2761,1,1304.9
2015,North Eastern,Tea,286.6,29.0,55.1,2.26,4.99,sandy,397,0,179.5
2004,Nyanza,Coffee,1970.1,25.0,72.9,3.09,3.06,loam,1109,1,864.0
2020,Rift Valley,Tea,1068.1,20.1,35.2,1.95,1.03,volcanic,1580,1,9643.6
2007,Central,Maize,1346.6,19.8,20.2,1.99,2.3,loam,2199,1,1675.6
2016,Rift Valley,Tea,1039.3,19.6,35.8,2.03,2.46,volcanic,2564,1,11763.3
2004,Eastern,Tea,535.7,23.0,33.8,0.18,1.62,sandy,538,0,1127.8
2017,Coast,Tea,1077.3,27.9,1.6,2.46,1.41,loam,598,0,1161.0
2018,Coast,Coffee,768.3,31.3,32.5,3.55,0.36,loam,426,0,241.0
2022,Western,Tea,1693.7,19.4,22.9,4.21,1.68,loam,1781,0,6844.0
2013,Rift Valley,Beans,986.6,15.8,11.1,2.53,1.33,volcanic,2528,1,1018.9
2023,Nyanza,Beans,1585.4,23.7,19.8,0.21,3.96,loam,1617,1,709.5
2012,Central,Tea,1280.4,17.5,40.7,1.54,1.32,loam,2743,1,11099.0
2001,Western,Wheat,1035.8,25.2,71.9,0.98,1.15,clay,1563,0,1135.1
2014,Coast,Coffee,939.2,30.0,46.1,4.22,1.71,sandy,300,0,135.4
2005,Rift Valley,Tea,755.4,19.7,24.1,5.12,2.77,loam,1794,1,10802.6
2014,Western,Wheat,1602.6,19.4,18.7,2.04,0.88,clay,1441,0,1014.8
2022,North Eastern,Coffee,313.9,30.1,11.3,0.53,1.64,sandy,260,0,100.0
2023,Central,Wheat,1088.2,16.4,33.2,1.56,3.19,loam,1971,1,2928.9
2022,Western,Sorghum,1547.2,20.0,37.4,2.62,1.15,loam,1977,0,317.9
2014,Western,Sorghum,1876.6,19.5,31.6,4.04,1.68,clay,1664,0,176.7
2000,Coast,Coffee,1252.3,30.5,60.3,2.69,0.83,loam,280,0,270.1
2015,Central,Wheat,1403.5,16.1,61.5,4.17,2.88,loam,1732,1,2880.6
2007,Eastern,Beans,490.7,23.8,33.4,0.39,0.92,sandy,894,0,284.5
2003,Eastern,Beans,683.7,23.4,34.2,3.17,2.39,sandy,914,0,352.9
2013,Coast,Wheat,1929.0,28.1,42.8,4.39,2.56,loam,562,1,465.2
2022,North Eastern,Maize,247.2,32.4,10.6,0.61,0.78,clay,267,0,274.5
2015,Eastern,Wheat,847.5,24.7,53.1,0.21,5.94,clay,796,0,696.7
2021,Eastern,Beans,304.9,22.7,50.0,1.16,0.5,clay,1219,0,457.2
2019,North Eastern,Sorghum,256.1,28.9,29.0,0.85,6.71,sandy,375,1,780.3
2003,Eastern,Sorghum,548.2,23.3,49.8,0.73,1.32,clay,1465,0,1141.9
2009,Nyanza,Sorghum,1687.2,22.8,64.7,2.49,1.03,loam,1559,0,448.9
2006,Nyanza,Coffee,1552.0,25.2,62.1,2.31,2.12,loam,1781,0,686.4
2022,Eastern,Wheat,356.6,24.2,58.3,3.13,1.29,clay,698,1,940.4
2004,Western,Sorghum,1440.3,19.4,72.8,4.01,0.83,loam,1743,0,615.5
2009,Central,Coffee,1165.5,18.8,53.0,0.14,3.79,loam,2350,1,1389.0
2019,Coast,Coffee,815.9,28.4,50.9,0.0,1.34,sandy,443,0,155.9
2001,Eastern,Beans,437.4,26.4,10.5,4.09,0.93,clay,1173,0,345.7
2010,Rift Valley,Tea,1027.4,18.0,29.3,3.46,2.23,volcanic,1555,1,12126.8
2014,North Eastern,Tea,187.7,28.9,0.0,1.61,1.27,clay,305,0,210.0
2019,Western,Sorghum,1660.9,19.8,20.3,1.05,1.46,clay,1381,0,168.2
2008,Coast,Tea,811.9,31.6,54.2,1.66,2.1,loam,251,0,1107.6
2009,Eastern,Beans,445.8,22.8,29.5,2.73,0.76,sandy,1228,0,360.1
2019,Eastern,Beans,462.0,24.2,43.7,3.43,1.36,sandy,810,0,319.4
2018,Coast,Sorghum,446.9,26.2,38.7,3.3,0.29,sandy,344,0,485.2
2010,Coast,Coffee,785.8,30.4,34.0,0.65,1.2,loam,542,0,254.5
2014,North Eastern,Tea,236.1,30.3,43.2,0.96,3.27,sandy,206,0,148.2
2004,Western,Sorghum,1762.6,19.0,61.0,1.0,1.03,clay,1907,0,182.3
2019,Western,Sorghum,1841.3,23.4,77.0,1.87,0.63,loam,1574,0,291.6
2016,Rift Valley,Maize,1176.5,16.3,57.1,1.51,0.9,loam,1541,1,1733.6
2022,North Eastern,Maize,235.0,25.7,63.8,3.5,1.32,clay,261,1,907.9
2010,North Eastern,Sorghum,371.9,24.8,32.8,0.82,0.55,clay,570,1,1390.6
2009,Central,Maize,672.9,17.0,46.6,3.89,0.66,loam,1868,1,1720.1
2019,Coast,Tea,1716.5,30.4,54.5,2.67,2.73,loam,516,0,1082.9
2020,Coast,Maize,701.8,30.3,78.0,3.09,2.93,loam,434,0,856.0
2023,Central,Tea,831.9,19.7,29.9,1.59,0.39,loam,2508,1,11081.4
2023,Eastern,Tea,409.7,27.3,37.0,1.72,0.7,clay,592,0,1277.8
2016,Central,Maize,1421.6,14.9,52.3,0.92,0.87,loam,1531,1,1462.4
2011,Coast,Coffee,1201.4,29.5,27.4,0.0,1.74,sandy,92,0,131.6
2007,Rift Valley,Coffee,824.8,19.5,55.8,1.64,0.86,volcanic,1816,1,1710.2
2011,Coast,Wheat,1131.4,27.5,65.9,2.06,2.83,sandy,408,0,377.8
2010,Coast,Tea,813.2,25.9,56.0,1.62,1.08,sandy,571,0,613.0
2000,Western,Wheat,1487.8,22.5,52.0,3.78,0.96,loam,1751,0,1483.8
2020,Rift Valley,Sorghum,1025.3,18.8,44.1,0.06,5.06,volcanic,2558,1,835.8
2021,North Eastern,Beans,453.2,33.2,60.5,4.25,0.67,sandy,419,0,100.0
2016,Eastern,Tea,681.4,28.4,27.9,2.16,0.43,clay,605,1,1242.5
2019,North Eastern,Beans,348.2,26.3,69.0,2.52,0.89,sandy,591,0,166.5
2002,Eastern,Beans,727.2,31.0,57.4,3.92,1.48,clay,1038,0,288.8
2017,Rift Valley,Tea,1211.7,14.6,49.2,1.73,4.62,volcanic,1513,1,13616.4
2019,Eastern,Coffee,528.3,25.2,40.3,1.02,0.28,sandy,1428,1,292.5
2002,Rift Valley,Maize,1304.4,22.7,36.1,0.0,0.26,loam,1578,1,2020.4
2021,Central,Sorghum,1331.7,17.5,59.9,3.36,1.1,loam,2977,1,468.1
2021,North Eastern,Wheat,318.9,36.3,57.8,2.37,1.35,sandy,505,1,242.8
2005,North Eastern,Beans,113.4,35.1,44.2,2.35,0.92,sandy,548,0,100.0
2010,Nyanza,Coffee,1260.8,20.8,31.0,1.89,1.44,clay,1739,0,547.2
2020,North Eastern,Coffee,242.8,30.6,45.7,2.11,2.04,clay,183,0,100.0
2018,North Eastern,Maize,381.7,31.0,57.4,2.25,8.81,sandy,215,0,273.4
2019,Eastern,Maize,631.8,26.7,44.2,1.87,1.06,clay,1468,1,1054.9
2020,Rift Valley,Beans,941.3,18.7,37.3,1.33,2.61,volcanic,2243,1,1246.9
2005,Coast,Beans,882.1,30.0,67.9,3.57,1.82,loam,228,0,368.6
2015,North Eastern,Maize,302.1,33.6,28.1,5.65,0.93,clay,473,0,319.2
2009,Rift Valley,Maize,985.2,19.0,27.2,3.23,4.77,loam,2723,1,2083.4
2009,Eastern,Coffee,544.3,26.5,62.1,3.12,0.69,clay,731,0,291.8
2017,Western,Maize,1828.4,18.9,71.8,3.36,3.6,clay,1423,0,1071.4
2017,Rift Valley,Beans,749.9,14.7,49.2,0.84,2.7,loam,2472,1,827.6
2003,Central,Beans,861.0,17.7,26.1,3.8,2.2,volcanic,2410,1,1476.9
2003,North Eastern,Tea,177.7,26.3,40.3,3.0,1.04,clay,484,0,323.2
